id,N,shots,created,validation_s,compile_s,queue_s,execution_s,postproc_s,billing_window_s,init_teardown_s,credit_cost
019de9ac-a727-7281-802d-63a5528de3aa,28,500,2026-05-02T17:11:39.576658Z,0.084225,1.207154,4.300104,6.161939,0.035576,7.369093,1.207154,6.0
019de9ac-e489-7603-8108-6c5fc7464f95,28,500,2026-05-02T17:11:55.343129Z,0.098512,1.245329,5.687617,6.10951,0.028167,7.354839,1.245329,6.0
019de9ad-26c2-77e3-84bf-3464ead969bc,28,500,2026-05-02T17:12:12.246776Z,0.096536,1.227868,4.237886,6.178988,0.033992,7.406856,1.227868,6.0
019de9ad-69f6-7e23-9392-6b406944773d,28,500,2026-05-02T17:12:29.449901Z,0.096639,2.025842,4.102461,6.138087,0.03953,8.163929,2.025842,6.75
019de9ad-a8ae-7c91-b679-6b4729fc6b4d,28,500,2026-05-02T17:12:45.508024Z,0.084354,2.104519,4.072565,6.139334,0.029642,8.243853,2.104519,6.75
019de9ad-e841-7881-b178-346b2f8a91b0,28,500,2026-05-02T17:13:01.784432Z,0.871786,1.199717,5.656235,6.159706,0.03539,7.359423,1.1997169999999997,6.0
019de9ae-3250-75c1-b1a4-7b57e72783f5,28,500,2026-05-02T17:13:20.741637Z,0.09906,1.230443,4.31572,6.128021,0.037201,7.358464,1.2304429999999993,6.0
019de9ae-6eb9-76e0-a513-b03d42170fb4,28,500,2026-05-02T17:13:36.207665Z,0.099469,2.060886,4.662109,6.181617,0.033686,8.242503,2.060885999999999,6.75
019de9ae-b2da-7592-917b-94a22d58fe1b,28,500,2026-05-02T17:13:53.646272Z,0.853272,1.214847,4.239888,6.099551,0.035041,7.314398,1.2148469999999998,6.0
019de9ae-f0df-7311-8d44-9dc3dd1c4894,28,500,2026-05-02T17:14:09.521803Z,0.097403,1.23542,4.673204,6.165161,0.033216,7.400581,1.2354199999999995,6.0
019de9af-308c-7dd3-b93f-f7c013a48c15,28,500,2026-05-02T17:14:25.822629Z,0.098232,1.245575,3.43987,6.162086,0.035001,7.407661,1.2455749999999997,6.0
019de9af-6c7b-72b2-8615-690d0a1f7d4b,28,500,2026-05-02T17:14:41.164052Z,0.099667,2.025404,4.803606,6.172751,0.035344,8.198155,2.025404,6.75
019de9af-afee-75f1-b0dc-5a0f09ee3dad,28,500,2026-05-02T17:14:58.434923Z,0.096588,2.016437,3.548243,6.10074,0.028163,8.117177,2.016437,6.75
019de9af-f104-77b1-8949-9b0aeb2e09d3,28,500,2026-05-02T17:15:15.097330Z,0.097129,1.221692,5.017809,6.171762,0.03732,7.393454,1.221692,6.0
019de9b0-2ebd-7cd0-998e-cb87fe07420c,28,500,2026-05-02T17:15:30.896488Z,0.09884,1.230032,4.02228,6.167477,0.034441,7.397509,1.2300320000000005,6.0
019de9b0-6e9c-7840-9f16-14f04f7479c8,28,500,2026-05-02T17:15:47.245064Z,0.066248,2.021785,4.815404,6.1535,0.036878,8.175285,2.0217850000000004,6.75
019de9b0-b362-7a11-9f8f-92042b2f1a03,28,500,2026-05-02T17:16:04.854673Z,0.080857,1.200433,3.496531,6.180039,0.035866,7.380472,1.2004330000000003,6.0
019de9b0-ec11-71a1-8d66-dcc543ac9f4a,28,500,2026-05-02T17:16:19.361350Z,0.865658,1.215865,4.936344,6.157082,0.037532,7.372947,1.215865,6.0
019de9b1-3037-7d03-8696-14a02941c059,28,500,2026-05-02T17:16:36.808658Z,0.810254,1.204266,4.866052,6.160399,0.029037,7.364665,1.2042659999999996,6.0
019de9b1-743b-7a02-9ade-b542ebf444b9,28,500,2026-05-02T17:16:54.220567Z,0.101312,1.976198,4.710121,6.140884,0.029966,8.117082,1.9761980000000001,6.75
019de9b1-b93b-7303-b9da-f7800b231e81,28,500,2026-05-02T17:17:11.885402Z,0.095332,2.010178,3.988223,6.122678,0.030469,8.132856,2.0101780000000007,6.75
019de9b1-f834-74d2-977a-1825d7a8d42f,28,500,2026-05-02T17:17:28.005288Z,0.095737,1.192737,4.394834,6.176361,0.061436,7.369098,1.1927370000000002,6.0
019de9b2-361f-7162-8b1a-e9e05378e8cc,28,500,2026-05-02T17:17:43.857716Z,0.883842,1.210831,5.097775,6.101518,0.057444,7.312349,1.2108309999999998,6.0
019de9b2-7a7a-7180-8e1d-24391e8f8c86,28,500,2026-05-02T17:18:01.360109Z,0.097976,2.021395,4.585951,6.162895,0.028338,8.18429,2.021395000000001,6.75
019de9b2-bc6b-7160-853d-85e549c7b308,28,500,2026-05-02T17:18:18.238953Z,0.857554,1.201492,4.394261,6.175741,0.056355,7.377233,1.201492,6.0
019de9b2-fcc1-78a3-bc48-a63781aee218,28,500,2026-05-02T17:18:34.710992Z,0.098327,1.224205,4.589638,6.165169,0.037335,7.389374,1.2242050000000004,6.0
019de9b3-3b13-7f23-b7e7-ee76f386949d,28,500,2026-05-02T17:18:50.663784Z,0.097586,1.223483,4.17859,6.110729,0.037235,7.334212,1.2234829999999999,6.0
019de9b3-77b7-7cb1-8136-35e803a3472e,28,500,2026-05-02T17:19:06.188908Z,0.839698,1.207288,5.043896,6.106758,0.029115,7.314046,1.2072880000000001,6.0
019de9b3-bd31-7163-b7b1-c1d28f3bac76,28,500,2026-05-02T17:19:23.970946Z,0.099892,1.99126,4.194995,6.163853,0.037636,8.155113,1.9912600000000005,6.75
019de9b3-fb29-79a0-9b73-7c190fca16d8,28,500,2026-05-02T17:19:39.834496Z,0.853572,1.192212,5.345646,6.174497,0.03657,7.366709,1.1922120000000005,6.0
019de9b4-3ecb-7412-aa36-1309c23dca40,28,500,2026-05-02T17:19:57.148408Z,0.062655,1.205882,3.584496,6.167119,0.030047,7.373001,1.2058820000000008,6.0
019de9b4-7b62-7840-96f0-22a9aa1fb923,28,500,2026-05-02T17:20:12.661038Z,0.100877,2.009858,4.620847,6.174375,0.038571,8.184233,2.0098580000000004,6.75
019de9b4-babb-76e3-b948-6b44f378e86f,28,500,2026-05-02T17:20:28.878732Z,0.096836,1.211462,4.074815,6.183914,0.039139,7.395376,1.211462,6.0
019de9b4-fa7f-74e1-9bba-e593b84f98d8,28,500,2026-05-02T17:20:45.201623Z,0.857564,1.208689,5.108843,6.164633,0.029438,7.373322,1.2086889999999997,6.0
019de9b5-3e98-7a43-8559-bee6d5237504,28,500,2026-05-02T17:21:02.636767Z,0.791021,1.206076,4.99549,6.108484,0.038915,7.31456,1.2060760000000004,6.0
